Type,Name,Flavor Profile,Image,Size,Strength
Salt Nic,Fruitia Pineapple Citrus,"Pineapple, Citrus, Mango, Fruit",fruitia-pineapple-citrus.jpg,30ml,
Salt Nic,Fruitia Strawberry Coconut,"Strawberry, Coconut, Fruit",fruitia-strawberry-coconut.jpg,30ml,
Salt Nic,Glas Basix Banana Cream Pie,"Banana, Cream, Vanilla, Pie Crust, Graham, Dessert",glas-basix-banana-cream-pie.jpg,30ml,
Salt Nic,Glas Basix Blue Razz,"Blue Raspberry, Fruit, Blue Razz, Candy, Blueberry, Raspberry",,30ml,
Salt Nic,Glas Basix Blueberry Cake,"Blueberry, Cake, Sweet, Dessert, Vanilla, Frosting",glas-basix-blueberry-cake.jpg,30ml,
Salt Nic,Glas Basix Butterscotch Reserve,"Butterscotch, Sweet, Caramel, Tobacco, Dessert",glas-basix-butterscotch-reserve.jpg,30ml,
Salt Nic,Glas Basix Carribean Punch,"Pineapple, Apple, Peach, Strawberry, Fruit, Apricot",glas-basix-carribean-punch.jpg,30ml,
Salt Nic,Glas Basix Cool Melon,"Melon, Cantaloupe, Cucumber, Ice, Menthol",glas-basix-cool-melon.jpg,30ml,
Salt Nic,Glas Basix Fizzy Lemonade,"Lemonade, Lemon, Lime, Pineapple, Ice, Menthol",glas-basix-fizzy-lemonade.jpg,30ml,
Salt Nic,Gost Vapor The Pancake House Blueberry,"Blueberry, Pancake, Maple, Dessert",,30ml,
Salt Nic,Gost Vapor The Pancake House Caramelized Apple,"Pancake, Caramel, Apple, Green Apple, Maple, Dessert",,30ml,
Salt Nic,Gost Vapor The Pancake House Golden Maple,"Pancake, Maple, Butter, Dessert",,30ml,
Salt Nic,Gost Vapor The Pancake House Strawberry,"Strawberry, Pancake, Maple, Dessert",,30ml,
Salt Nic,Halo Kringle's Curse - Peppermint,"Peppermint, mint, ice, menthol",,30ml,
Salt Nic,"Halo Sub Zero - An intense, cool menthol effect with superior vapor production and a glacier-fresh finish.","Menthol, Ice",,30ml,
Salt Nic," Halo Tribeca - Rich and smooth tobacco flavor, bold top notes and a decadent, velvety finish.","Tobacco, Vanilla, Caramel",,30ml,
Salt Nic,Innevape The Berg Menthol,"Blue Raspberry, Fruit, Blue Razz, Candy, Ice, Menthol",innevape-the-berg-menthol.jpg,30ml,
Salt Nic,Juice Head Freeze Blueberry Lemon,"Blueberry, Lemon, Ice, Menthol, Fruit",juice-head-freeze-blueberry-lemon.jpg,30ml,
Salt Nic,Juice Head Freeze Guava Peach,"Guava, Peach, Ice, Menthol, Fruit",juice-head-freeze-guava-peach.jpg,30ml,
Salt Nic,Juice Head Freeze Mango Strawberry,"Mango, Strawberry, Ice, Menthol, Fruit",juice-head-freeze-mango-strawberry.jpg,30ml,
Salt Nic,Juice Head Freeze Orange Mango,"Orange, Mango, Ice, Menthol, Fruit",juice-head-freeze-orange-mango.jpg,30ml,
Salt Nic,Juice Head Freeze Peach Pear,"Peach, Pear, Ice, Menthol, Fruit",juice-head-freeze-peach-pear.jpg,30ml,
Salt Nic,Juice Head Freeze Pineapple Grapefruit,"Pineapple, Grapefruit, Ice, Menthol, Fruit",juice-head-freeze-pineapple-grapefruit.jpg,30ml,
Salt Nic,Juice Head Freeze Pineapple Guava,"Pineapple, Guava, Ice, Menthol, Fruit",juice-head-freeze-pineapple-guava.jpg,30ml,
Salt Nic,Juice Head Freeze Raspberry Lemonade,"Raspberry, Lemon, Lemonade, Ice, Menthol, Fruit",juice-head-freeze-raspberry-lemonade.jpg,30ml,
